baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000025813.14	498.492044650105	3.0967750666308	0.142015435432021	21.8059048103482	2.03934402618445e-105	5.85886544189242e-103
ENSMUSG00000024011.17	380.251804652324	5.1674003709508	0.237077761422859	21.796225592556	2.51956832883079e-105	7.13935217559794e-103
ENSMUSG00000037411.10	7312.57950060535	-2.11272551437559	0.0969644096376575	-21.7886699075522	2.97156789895681e-105	8.30633540404347e-103
ENSMUSG00000038732.15	746.588740326406	2.98810903462669	0.138100285667315	21.6372400693297	8.01599414907492e-104	2.21081118631486e-101
ENSMUSG00000026110.15	400.929257318813	3.48232101316627	0.161190426153705	21.6037707465681	1.65536061272038e-103	4.50541240448962e-101
ENSMUSG00000056724.15	627.329571472147	3.20051305426586	0.148590119913507	21.5392050031917	6.68441306464114e-103	1.7956764187286e-100
ENSMUSG00000044041.4	962.3106940219	8.68921683310783	0.404120100894111	21.5015704833366	1.50507704224251e-102	3.99134854087004e-100
ENSMUSG00000063727.3	1654.60292923479	-2.42160971958937	0.112939003906164	-21.4417485176456	5.45261385272503e-102	1.42768756384326e-99
ENSMUSG00000033987.16	751.890106159399	4.69043573145052	0.219348321302497	21.3835041161864	1.90290938472616e-101	4.92021007788258e-99
ENSMUSG00000003526.12	343.803904012727	4.92311643731328	0.230667913132111	21.3428750035713	4.54144384353891e-101	1.15975019634077e-98
ENSMUSG00000033644.5	531.934717611793	7.24113483305509	0.341589559079435	21.1983494242902	9.89047702192802e-100	2.49493313656806e-97
ENSMUSG00000022665.15	15843.574413157	-1.6657940837805	0.0786924340636892	-21.168414773297	1.86733321498591e-99	4.65370934361248e-97
ENSMUSG00000003279.17	465.751267738521	6.630068894246	0.313343720831249	21.1590928857854	2.27558230272074e-99	5.60362142044983e-97
ENSMUSG00000044646.15	626.101191338806	3.28202721436609	0.156077323799874	21.0282130322428	3.62031933014758e-98	8.81015356989442e-96
ENSMUSG00000022055.7	421.833604836753	5.57585252882794	0.265478408662546	21.0030358284823	6.15256797550245e-98	1.47983568108451e-95
ENSMUSG00000023043.7	431.334663003492	6.15228535726999	0.293869935811801	20.935402392472	2.54903705222994e-97	6.06055533625014e-95
ENSMUSG00000041439.15	887.352658906762	2.84968500594403	0.136156281420072	20.9295155260014	2.88412688398618e-97	6.77933688582434e-95
ENSMUSG00000000308.14	361.166577002749	6.06339882808567	0.292389797767464	20.7373816541569	1.59367647156813e-95	3.70395481060526e-93
ENSMUSG00000016028.11	379.490095282115	6.33168336167838	0.305609813039743	20.7181938914212	2.37425786264098e-95	5.45683598763652e-93
ENSMUSG00000057963.9	694.705456050151	3.1885279458772	0.154412403250734	20.6494289237873	9.87805618977325e-95	2.24535815698307e-92
ENSMUSG00000017861.11	452.344842459079	3.31910912612827	0.161070816003495	20.6065208365011	2.39865468689481e-94	5.39306219548034e-92
ENSMUSG00000029832.16	323.806578850186	4.90318704893268	0.238208896886604	20.5835596949461	3.85319763811852e-94	8.57025732736361e-92
ENSMUSG00000021678.9	343.242197594806	4.20982682593089	0.204701883538627	20.565647727108	5.57505130386517e-94	1.22680783213246e-91
ENSMUSG00000024812.11	1849.12099932124	2.05014066168247	0.0998581254939153	20.5305342108329	1.14904711040293e-93	2.50189889249311e-91
ENSMUSG00000028179.12	527.6344380886	3.04538183177938	0.148340947355938	20.5296102395255	1.17110411470987e-93	2.52336339716392e-91
ENSMUSG00000030353.15	644.8714117015	2.66389032471057	0.129776453893219	20.5267615564718	1.24180181970513e-93	2.64811037531964e-91
ENSMUSG00000025582.4	424.885954009663	3.10592008235839	0.151450011027803	20.50788944339	1.8306739665955e-93	3.86402969377836e-91
ENSMUSG00000030093.7	368.907311711322	6.51655205592095	0.319220244167739	20.4139686469782	1.25655573235387e-92	2.62543993169089e-90
ENSMUSG00000041362.17	459.447847903368	3.38082134472436	0.165667834762405	20.4072284132464	1.44235227090443e-92	2.98350567236581e-90
ENSMUSG00000071847.13	976.156106066503	2.16973594859379	0.107299310866933	20.2213409486347	6.35325896926028e-91	1.30116001761534e-88
ENSMUSG00000053030.11	715.500780906952	8.16009990291958	0.403793207985198	20.208611094862	8.22294380840001e-91	1.66756463408583e-88
ENSMUSG00000022865.14	1017.87748368368	3.41242058525465	0.169228014963048	20.1646316421059	2.00232262813034e-90	4.02116927794913e-88
ENSMUSG00000039457.4	325.358776058603	3.87490511114049	0.192364619550371	20.1435436526613	3.06595240504911e-90	6.09800245177315e-88
ENSMUSG00000102752.1	291.646276394485	4.0967648898964	0.203384839088831	20.1429217057181	3.10469972792012e-90	6.11625846400264e-88
ENSMUSG00000029154.13	732.110130029389	8.29202341397386	0.412297050324205	20.1117699179597	5.82092972748356e-90	1.13590501333016e-87
ENSMUSG00000028128.13	1790.71481294206	-2.08946665114533	0.103947724217341	-20.1011293597589	7.21332830674599e-90	1.39446444883216e-87
ENSMUSG00000022346.16	4842.21311525514	2.52476085475321	0.125922656293816	20.0500920887673	2.0147186384718e-89	3.85874583673975e-87
ENSMUSG00000022102.13	303.623153037445	5.63758870095224	0.281440691116134	20.0311784290849	2.94603568361725e-89	5.59071083629568e-87
ENSMUSG00000021182.16	302.517651558308	4.03014804794898	0.20159524081836	19.9912856652217	6.55840524257757e-89	1.23327829493379e-86
ENSMUSG00000028434.12	984.555389676805	2.52761829698773	0.126704271954565	19.9489587682894	1.53042380751999e-88	2.85196544671631e-86
ENSMUSG00000042216.13	360.194299392285	3.34074516767414	0.16752372740299	19.9419223740035	1.76163034014599e-88	3.25351103445713e-86
ENSMUSG00000019996.17	303.58198477389	4.80508456019468	0.241070657427703	19.9322663797676	2.13663913001323e-88	3.91118410657732e-86
ENSMUSG00000029449.11	351.093197920002	3.84163971424277	0.193261228493227	19.877963853352	6.31448754990271e-88	1.14574714885735e-85
ENSMUSG00000085925.3	338.052463566585	3.27188452417247	0.165092834093972	19.8184527034656	2.06356380977338e-87	3.71172325262281e-85
ENSMUSG00000024965.9	348.972606266175	5.42018444713565	0.273718151100007	19.8020643693275	2.85740745919869e-87	5.0952994218556e-85
ENSMUSG00000031075.19	2030.16380629788	1.83817961311636	0.0937334875994171	19.6107032843168	1.25287491792693e-85	2.21501860489901e-83
ENSMUSG00000028954.11	2684.45698935806	1.81333736405716	0.0928284658076532	19.5342813034798	5.61304816725185e-85	9.83948316437326e-83
ENSMUSG00000092586.8	2363.28780089689	10.9876110690246	0.563412993592768	19.5018772977862	1.05825823099293e-84	1.83950180740242e-82
ENSMUSG00000026638.15	451.502017437784	7.31020184399233	0.379908098753821	19.2420268690542	1.64642724271785e-82	2.83802895963489e-80
ENSMUSG00000027456.8	288.322778458967	5.87951726937857	0.305813468442368	19.2258284088184	2.25016902094815e-82	3.84667323952995e-80
ENSMUSG00000044737.6	429.37206599295	7.15533771425578	0.372407371105182	19.213738151909	2.84056547579296e-82	4.81615548088339e-80
ENSMUSG00000025481.12	243.764740986178	4.57709053679537	0.239209720784092	19.134216292684	1.3103489779871e-81	2.20362346420025e-79
ENSMUSG00000002384.2	247.532828055831	4.43092108715632	0.232089478169543	19.0914345712799	2.97486707701723e-81	4.96251012000817e-79
ENSMUSG00000040152.8	93736.841741044	-1.87263645568718	0.098135803692406	-19.0820922153623	3.5572988673906e-81	5.88661816575797e-79
ENSMUSG00000006310.10	295.561543506451	5.63958760461164	0.295785798940585	19.0664583114231	4.79715045768663e-81	7.87532200136889e-79
ENSMUSG00000030168.13	2442.91049004748	2.07838015415783	0.109199480003167	19.0328759266762	9.11123838535421e-81	1.48398398426025e-78
ENSMUSG00000027377.2	378.06419329848	7.05248714217375	0.370807845946175	19.0192500489794	1.18161555807937e-80	1.90950920459936e-78
ENSMUSG00000052180.15	292.042741762003	4.69978025019904	0.247506272291834	18.9885298933254	2.12185937099125e-80	3.40237682860109e-78
ENSMUSG00000033491.13	657.713834645389	2.68501052715573	0.141697922113609	18.948834867197	4.51468897361238e-80	7.18356472455169e-78
ENSMUSG00000025085.16	1460.68963617286	2.09034366168577	0.110371807248018	18.9391087616109	5.4308624903437e-80	8.57537332921828e-78
ENSMUSG00000034382.14	236.015195191569	4.1473762250313	0.219776564317976	18.8708756909623	1.97990305584723e-79	3.10259808410606e-77
ENSMUSG00000042367.12	551.441886291033	3.1587118475156	0.167606347947886	18.8460155966034	3.16825687891696e-79	4.92747319852611e-77
